wave_id,time,sd,low limit,high limit,x0,x_end,mean_all,std_all,mean_last,std_last,peak_rel,trough_rel,max_slope,min_slope,ringing_energy,settle_idx,band_3std_last
1,0.0,0.07,2.4324586899625844,3.2909735217140845,0.8344748326033538,3.054730306731682,2.8617161058383345,0.4884945339711552,3.0485346723825337,0.01135593095333316,0.19943055041171043,2.6496667805378786,0.8964607752851494,-2.6424874863353818,81.84937659716167,972,0.034067792859999474
2,0.0,0.07,2.5661291846714342,3.4718218380848813,0.8200862937172376,3.366368459989184,3.018975511378158,0.4988642902350663,3.3572920407387157,0.025055069555077185,0.059801755790457545,2.874053237409242,0.9328264575258067,-2.667502542947289,84.02234975804214,928,0.07516520866523155
3,0.0,0.07,2.376892392141691,3.2157955893681702,0.8107152721042457,2.9237106357932507,2.796343990754931,0.49159680074412915,2.914456555885521,0.02104226183588591,0.3305645895181901,2.622947879841431,0.8988918710402836,-2.650253967312884,82.45232246330642,927,0.06312678550765773
4,0.0,0.07,2.053370798590972,2.778089903976021,0.848461820358026,2.177042578445425,2.415730351283497,0.5519079976249767,2.1622459401596457,0.015694755883730534,1.0563630953200414,2.562876671858179,0.9030931303486686,-2.686989873312489,82.41630024998815,981,0.0470842676511916
5,0.0,0.07,2.271702794278542,3.073480251082733,0.8079852660985378,2.6573494543981853,2.6725915226806376,0.5006585716348898,2.6741391205043006,0.01466985475977302,0.5611932273197384,2.560232219290454,0.8895586809582146,-2.6522584165332383,82.93812827437094,965,0.04400956427931906
6,0.0,0.07,2.349180659326838,3.178303244971604,0.8299290516496091,2.8498427128492487,2.7637419521492212,0.4922550090914882,2.8536987326020897,0.020001268297886243,0.40695033369780864,2.5896027530598604,0.9143691233950575,-2.6813412009100306,82.542256717681,970,0.060003804893658724
7,0.0,0.07,2.4146355258389818,3.266859829076269,0.8220145597615048,3.0092126332252387,2.8407476774576255,0.49018039784949347,2.9975704568808554,0.017019700392728054,0.25125417014555484,2.626260905806546,0.9215235411995727,-2.695309877620529,83.17149287015334,957,0.05105910117818416
8,0.0,0.07,2.0693034794665666,2.7996458839841782,0.8216360702750503,2.150486311853534,2.4344746817253724,0.5464613430928631,2.190230437017162,0.022513042798349286,1.053312433080678,2.5133095919767,0.9256149533482583,-2.6854121723211444,82.18280283593586,954,0.06753912839504786
9,0.0,0.07,2.930007288594408,3.964127508098316,0.8014676597413644,4.1942508066202615,3.447067398346362,0.5971032188,4.209303891744364,0.012834564070488393,0.030236892734585297,3.617809940127922,0.9205206446032168,-2.662411441137327,82.37811831167613,966,0.03850369221146518
10,0.0,0.07,1.533686943378443,2.074988217512011,0.8440500083928862,0.9178864094824244,1.804337580445227,0.779667379468522,0.9446472334987256,0.01969218549913277,2.2363166754586516,2.4224770648422096,0.9044425566869563,-2.6349592015366694,83.45304559808872,968,0.05907655649739831
11,0.0,0.07,2.290626535588132,3.0990829599133547,0.7985898845575323,2.6691616881946736,2.6948547477507434,0.4990347042714287,2.711391699252,0.020012649521086914,0.5351736180789048,2.544070518132444,0.9224192463626728,-2.6617138482663636,82.97585040109607,949,0.06003794856326074
12,0.0,0.07,2.476637473065046,3.350744816499768,0.8410899607969982,3.124798385737827,2.9136911447824074,0.49172271810762186,3.1597659316878897,0.027016862220107973,0.07997367233802732,2.72854103508323,0.8920747436326316,-2.6553462565253687,83.74602751213058,928,0.08105058666032391
13,0.0,0.07,2.175047564928968,2.9427114113744848,0.8329676414196084,2.440432532709017,2.558879488151726,0.5187150079808135,2.44388802904558,0.015299435133958714,0.7976930455124536,2.539431901259148,0.898593361948928,-2.6396820249052713,82.06969275184409,957,0.045898305401876144
14,0.0,0.07,2.374696100954083,3.212824136584936,0.837283878131469,2.8892711980370214,2.7937601187695096,0.4911107638472253,2.9108783878474913,0.013157460952551525,0.3339187109532826,2.6034122500475374,0.8858289307009484,-2.63101056619593,82.1671104754252,988,0.03947238285765457
15,0.0,0.07,2.8115183862642934,3.8038189931811024,0.8347339718027132,3.876405273157327,3.307668689722698,0.5558560674157191,3.925700561776895,0.02652536375077378,0.0449427856197806,3.3781350954174325,0.8890848014175304,-2.6584951003746995,82.21708635618374,929,0.07957609125232135
16,0.0,0.07,1.6291936777760234,2.2042032111087373,0.831730643870711,1.163909100795521,1.9166984444423805,0.7311851276751314,1.1618303619918116,0.017405807605894674,2.0363406091667215,2.4334596250405793,0.9147381523549775,-2.680424070368697,83.62542778892185,984,0.05221742281768402
17,0.0,0.07,2.9006219760767,3.924370908809653,0.801128509602635,4.141806193487112,3.4124964424431763,0.5872303124844075,4.147751398829672,0.016440422337954477,0.0270547285191034,3.5799105648417173,0.9066880507832391,-2.6842801132909937,83.32496476439357,986,0.049321267013863426
18,0.0,0.07,1.8676484819493744,2.5268185344020946,0.8242472833418122,1.733287543865373,2.1972335081757346,0.6192315129460616,1.735787356455654,0.011607068878017561,1.497991186468938,2.4825435694359053,0.9120652220224428,-2.642418918984327,83.04567967999549,977,0.034821206634052686
19,0.0,0.07,2.0662622276982443,2.795531249238801,0.8064772726530597,2.185434827920672,2.430896738468523,0.5486328550724384,2.1860634808028627,0.011926435159157638,1.0507068195618077,2.524364041565695,0.9252362227801324,-2.673123393739942,82.89138396856018,982,0.03577930547747291
20,0.0,0.07,2.8122091095732014,3.804753501187272,0.8037301749033833,3.923628272495294,3.308481305380237,0.5565415098848995,3.9294734545360877,0.02488020835411218,0.03665820907200157,3.3619459083332477,0.9328153252007052,-2.650593236669701,82.76873371013193,938,0.07464062506233654
